City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Westlake Village city,"8,305","8,350","8,401","8,446","8,452","8,457","8,428","8,392","8,327","8,217","7,995","7,829","7,694"
Westminster city,"89,772","90,710","91,223","91,624","91,555","91,582","91,510","91,176","90,742","90,643","90,786","90,124","89,397"
Westmorland city,"2,234","2,253","2,255","2,256","2,263","2,258","2,267","2,272","2,270","2,254","2,008","2,002","1,990"
West Sacramento city,"48,842","49,106","49,528","49,978","51,637","52,431","52,933","53,304","53,601","53,519","53,914","53,983","55,064"
Wheatland city,"3,514","3,518","3,524","3,508","3,508","3,728","3,763","3,819","3,869","3,873","3,715","3,728","3,789"
Whittier city,"85,319","85,633","85,968","86,326","86,482","86,705","86,600","86,326","85,791","85,098","87,006","85,330","84,496"
Wildomar city,"32,416","32,908","33,230","33,639","35,111","35,317","35,920","36,697","37,086","37,229","36,912","37,197","37,214"
Williams city,"5,110","5,105","5,107","5,125","5,098","5,106","5,145","5,265","5,242","5,408","5,562","5,605","5,646"
Willits city,"4,922","4,881","4,874","4,859","4,862","4,867","4,885","4,898","4,925","4,890","4,969","4,963","4,885"
Willows city,"6,148","6,138","6,084","6,064","6,064","6,011","6,018","6,005","6,004","6,072","6,270","6,212","6,116"
Windsor town,"26,811","26,882","26,994","27,157","27,280","27,373","27,493","27,431","27,769","27,128","26,307","26,138","25,789"
Winters city,"6,621","6,832","6,868","6,894","6,922","7,006","7,139","7,251","7,277","7,315","7,129","7,358","7,540"
Woodlake city,"7,317","7,327","7,355","7,600","7,629","7,625","7,614","7,629","7,621","7,658","7,449","7,577","7,590"
Woodland city,"55,615","55,786","56,272","56,713","57,328","58,385","59,098","59,923","60,474","60,548","61,051","61,538","61,462"
Woodside town,"5,291","5,353","5,412","5,471","5,521","5,555","5,570","5,547","5,504","5,458","5,293","5,138","5,053"
Yorba Linda city,"64,390","65,610","66,282","66,803","67,359","67,527","68,033","67,895","67,589","67,644","68,330","67,925","67,089"
Yountville city,"2,927","2,938","2,944","2,954","2,971","2,992","2,992","2,977","2,982","2,966","3,427","3,420","3,356"
Yreka city,"7,789","7,743","7,646","7,546","7,533","7,539","7,545","7,557","7,523","7,518","7,793","7,826","7,827"
Yuba City city,"65,631","65,364","65,283","65,538","65,757","66,134","66,218","66,564","66,695","67,010","69,949","69,505","69,014"
Yucaipa city,"51,474","51,954","52,280","52,546","52,730","52,981","53,186","53,496","53,557","53,921","54,586","54,713","54,420"
Yucca Valley town,"20,695","20,867","20,991","21,044","21,304","21,431","21,538","21,650","21,691","21,777","21,751","21,817","21,662"
